sample_id,field_site,fire_freq,plot,TSF_days,TSF,P1,P2,observed,chao1,diversity_inverse_simpson,diversity_gini_simpson,diversity_shannon,diversity_fisher,diversity_coverage,evenness_camargo,evenness_pielou,evenness_simpson,evenness_evar,evenness_bulla,dominance_dbp,dominance_dmn,dominance_absolute,dominance_relative,dominance_simpson,dominance_core_abundance,dominance_gini,rarity_log_modulo_skewness,rarity_low_abundance,rarity_rare_abundance
DL11,DL,Maintenance,11,63,2 months,7,9,271,271,23.58750028,0.957604664,4.070112056,41.84012345,10,0.966707595,0.726530834,0.087038746,0.264518778,0.352933122,0.148917366,0.221092944,4044,0.148917366,0.042395336,0.288665488,0.991973638,2.059347969,0.129142731,0.500110473
DL12,DL,Maintenance,12,63,2 months,12,13,292,292,29.42267621,0.966012609,4.201634108,44.28952976,12,0.970900859,0.740147319,0.10076259,0.22335924,0.353446724,0.12144959,0.199194672,3921,0.12144959,0.033987391,0.291218832,0.991549775,2.060142384,0.105435961,0.51516184
DL13,DL,Maintenance,13,63,2 months,8,9,220,220,9.506626602,0.894810216,3.485612435,34.44973917,4,0.99903003,0.646246409,0.043211939,0.2728401,0.342278076,0.2780581,0.411649439,5676,0.2780581,0.105189784,0.274873855,0.994113771,2.061313684,0.102875618,0.628325087
DL14,DL,Maintenance,14,63,2 months,9,11,424,424,17.67099754,0.943410099,4.063482519,61.01245306,10,0.928385855,0.671679595,0.041676881,0.205961381,0.293308048,0.199839486,0.273770182,12699,0.199839486,0.056589901,0.202797973,0.990973102,2.06052961,0.121439587,0.615286564
DL15,DL,Maintenance,15,63,2 months,9,12,678,678.0263158,40.88502884,0.975541169,4.546733234,86.64413904,16,0.96981736,0.697442937,0.060302402,0.179344157,0.263460818,0.086199101,0.146308719,18684,0.086199101,0.024458831,0.327938585,0.987219612,2.058172881,0.150050287,0.478150346
DL16,DL,Maintenance,16,63,2 months,7,9,458,458.0294118,36.47241219,0.972582016,4.459698291,62.96558378,15,0.984850142,0.727891874,0.079634088,0.200400955,0.327868437,0.098604743,0.167585082,8947,0.098604743,0.027417984,0.25201684,0.988487613,2.059815155,0.152750838,0.528985188
DL17,DL,Maintenance,17,63,2 months,9,11,344,344,31.51606169,0.968270147,4.32326504,48.86414188,15,0.911847965,0.740203781,0.091616458,0.204931535,0.343165222,0.127835607,0.178517588,7123,0.127835607,0.031729853,0.141511127,0.990383932,2.05855981,0.125143575,0.778948313
DL18,DL,Maintenance,18,63,2 months,9,11,434,434,17.34546202,0.942348033,4.129230422,61.96819482,9,0.715009634,0.679927572,0.039966502,0.236851329,0.320351684,0.191931199,0.300004403,13078,0.191931199,0.057651967,0.276053362,0.989444574,2.059979297,0.148006281,0.65549832
DL19,DL,Maintenance,19,63,2 months,6,8,360,360,31.0100765,0.967752418,4.256941801,52.96893534,11,0.94698497,0.72321892,0.086139101,0.229733908,0.33143772,0.105944736,0.169236944,5015,0.105944736,0.032247582,0.239563968,0.990573949,2.06070492,0.134717762,0.547046645
DL20,DL,Maintenance,20,63,2 months,9,11,300,300,5.153058406,0.805940488,2.998744045,42.45764463,2,0.827241856,0.525746565,0.017176861,0.241096406,0.265487276,0.405289003,0.567299952,20138,0.405289003,0.194059512,0.094308485,0.994802035,2.06055905,0.106786347,0.838371438
FOJ01,FOJ,Annual,1,362,1 year,6,7,465,465.0208333,56.93335752,0.982435605,4.756640675,73.77936457,20,0.988242644,0.7744402,0.122437328,0.256883394,0.365477212,0.049666733,0.096597692,1997,0.049666733,0.017564395,0.233162555,0.985358913,2.060578934,0.184416037,0.605451651
FOJ02,FOJ,Annual,2,362,1 year,6,7,346,346,40.46980847,0.975290222,4.517997829,53.21542737,19,0.983818245,0.772777755,0.116964764,0.248069723,0.368050291,0.106470106,0.164619165,3770,0.106470106,0.024709778,0.360445085,0.988629659,2.059342447,0.147928493,0.45886639
FOJ03,FOJ,Annual,3,362,1 year,5,7,439,439,41.59828103,0.975960545,4.642454162,69.09852081,17,0.996447854,0.762996895,0.094756904,0.264426237,0.371250465,0.096117926,0.157453683,3808,0.096117926,0.024039455,0.335074966,0.986114599,2.060549907,0.171512949,0.453581705
FOJ04,FOJ,Annual,4,362,1 year,5,7,253,253,12.68720887,0.921180457,3.508645161,37.69978454,6,0.998909548,0.634086064,0.050147071,0.240912621,0.267868306,0.22983897,0.31905193,7108,0.22983897,0.078819543,0.186412727,0.99490852,2.060148198,0.099042877,0.573627369
FOJ05,FOJ,Annual,5,362,1 year,5,7,352,352,13.36432691,0.925173935,3.809896741,52.85497776,7,0.629909865,0.649750407,0.037966838,0.266384294,0.308217401,0.199043504,0.360652554,8199,0.199043504,0.074826065,0.178626918,0.991835213,2.060650995,0.154010487,0.744634881
FOJ06,FOJ,Annual,6,362,1 year,6,9,435,435,29.52084109,0.966125626,4.310703743,66.64300708,11,0.900218625,0.709540448,0.067864003,0.240309656,0.314332508,0.12016356,0.185499472,5466,0.12016356,0.033874374,0.155337671,0.989397828,2.060651524,0.149292121,0.715243581
FOJ07,FOJ,Annual,7,362,1 year,6,8,601,601,44.49132712,0.977523709,4.714539023,89.34845698,18,0.913860717,0.736808482,0.07402883,0.242855603,0.331360915,0.063026395,0.123943851,4692,0.063026395,0.022476291,0.14141984,0.984295252,2.060079581,0.18772248,0.74613473
FOJ08,FOJ,Annual,8,362,1 year,5,7,654,654.0740741,59.18796214,0.983104673,4.936900659,93.98565302,24,0.935703708,0.761502223,0.090501471,0.222255501,0.341161142,0.075973073,0.112041302,7505,0.075973073,0.016895327,0.228810042,0.981824816,2.059809505,0.199615326,0.575330263
FOJ09,FOJ,Annual,9,362,1 year,5,6,461,461,62.74194818,0.9840617,4.881091692,71.63829419,23,0.914222508,0.795821771,0.136099671,0.256103645,0.404918951,0.059460793,0.095819128,2651,0.059460793,0.0159383,0.168625516,0.983636037,2.060612645,0.194329804,0.627242957
FOJ10,FOJ,Annual,10,362,1 year,5,7,416,416,24.10426243,0.958513562,4.104909179,58.71314853,9,0.992988184,0.680670438,0.057942939,0.230732112,0.287311763,0.119338862,0.207890267,8361,0.119338862,0.041486438,0.239291475,0.990891635,2.059121138,0.153937283,0.476299225
FOJ11,FOJ,Maintenance,11,460,1 year,8,9,396,396,31.01978067,0.967762506,4.37409769,62.45131162,14,0.872828888,0.731281522,0.078332779,0.248846526,0.335006972,0.12548066,0.179682199,4438,0.12548066,0.032237494,0.148043429,0.989182537,2.060389241,0.144085049,0.744260348
FOJ12,FOJ,Maintenance,12,460,1 year,8,9,345,345,25.28737191,0.96045457,4.004578686,48.94098244,8,0.997685955,0.685299606,0.07329673,0.234431183,0.290892268,0.101927788,0.176110342,5742,0.101927788,0.03954543,0.293801257,0.992196304,2.060469224,0.132939255,0.442876416
FOJ13,FOJ,Maintenance,13,460,1 year,7,9,460,460,29.67255815,0.966298828,4.416861834,68.6803899,11,0.962356181,0.720387975,0.064505561,0.26179705,0.346205777,0.119210777,0.181837803,6628,0.119210777,0.033701172,0.341409018,0.987369922,2.060745033,0.189212036,0.5262145
FOJ14,FOJ,Maintenance,14,460,1 year,7,8,338,338,35.57088605,0.971887121,4.247565203,49.48238161,12,0.870103901,0.729440447,0.105239308,0.240111402,0.321899452,0.073267197,0.135980246,3353,0.073267197,0.028112879,0.237435539,0.991057061,2.060117693,0.137925007,0.634843982
FOJ15,FOJ,Maintenance,15,460,1 year,8,10,302,302,6.180467141,0.838199933,3.03860093,40.81550238,3,0.971463366,0.532114485,0.020465123,0.216007959,0.23109273,0.371437999,0.484822125,24766,0.371437999,0.161800067,0.199637051,0.995589278,2.060467594,0.094231808,0.719599256
FOJ16,FOJ,Maintenance,16,460,1 year,7,10,463,463,17.60443995,0.943196148,4.265164563,70.88067256,12,0.956086816,0.694909455,0.038022548,0.263619301,0.334783696,0.201962438,0.290045873,9818,0.201962438,0.056803852,0.211610063,0.987676009,2.060863284,0.172381873,0.662189126
FOJ17,FOJ,Maintenance,17,460,1 year,6,8,413,413,26.89765458,0.962822037,4.234672495,60.02344812,11,0.990986254,0.70303135,0.065127493,0.235626087,0.315233567,0.100517495,0.192467185,5866,0.100517495,0.037177963,0.168168889,0.989879567,2.059745068,0.149868056,0.4917235
FOJ18,FOJ,Maintenance,18,460,1 year,5,7,303,303,24.9744804,0.959959127,4.245686666,47.18709309,13,0.918993888,0.743067065,0.082424028,0.259921825,0.378145764,0.149091914,0.222394862,4318,0.149091914,0.040040873,0.208203853,0.990347054,2.060999977,0.12184932,0.650162282
FOJ19,FOJ,Maintenance,19,460,1 year,7,8,312,312,29.1226171,0.965662427,4.261561185,49.24964635,13,0.953915879,0.742044022,0.093341721,0.250424721,0.355898271,0.124747548,0.207660127,3459,0.124747548,0.034337573,0.146494518,0.990671182,2.060191522,0.134232545,0.711374784
FOJ20,FOJ,Maintenance,20,460,1 year,7,9,272,272,10.10794089,0.901067882,3.267535425,38.06454286,3,0.926082866,0.582884552,0.037161547,0.212818316,0.251352574,0.2194384,0.365081339,10589,0.2194384,0.098932118,0.10197907,0.995406922,2.059982815,0.105792146,0.612848409
TOA01,TOA,Annual,1,342,1 year,6,9,447,447,26.79246114,0.962676068,4.348154493,66.34311084,12,0.973244245,0.712513354,0.059938392,0.245403996,0.33634489,0.112679332,0.200314837,6299,0.112679332,0.037323932,0.305105363,0.988269106,2.060494318,0.160244714,0.446191549
TOA02,TOA,Annual,2,342,1 year,6,7,273,273,11.72643535,0.914722593,3.532244496,43.64376956,4,0.694513052,0.629692888,0.042953976,0.27044476,0.294469701,0.20778591,0.373379773,4713,0.20778591,0.085277407,0.345780795,0.994047724,2.061281557,0.108764659,0.577241866
TOA03,TOA,Annual,3,342,1 year,8,9,378,378,20.05131714,0.950127965,4.102407973,55.25117909,10,0.871099749,0.691235233,0.053045813,0.236332314,0.313395639,0.172439161,0.26918088,8907,0.172439161,0.049872035,0.114727121,0.990789551,2.060041736,0.149807368,0.81751302
TOA04,TOA,Annual,4,342,1 year,6,9,357,357,13.09976045,0.923662726,3.915174632,54.64115567,7,0.909964679,0.666102523,0.036694007,0.251552434,0.329686915,0.245756615,0.309067654,9223,0.245756615,0.076337274,0.131578246,0.991116711,2.061047205,0.148791601,0.78904314
TOA05,TOA,Annual,5,342,1 year,6,7,366,366,31.42290415,0.96817608,4.549555878,60.20809633,17,0.980577901,0.770767151,0.085854929,0.304321995,0.419597859,0.117678462,0.217625076,3086,0.117678462,0.03182392,0.172628127,0.98657966,2.06121736,0.157603722,0.752669311
