obj_id,species,speciesMatched,uuid,ifungorum_number,trait_name,value
Treseder_etal_2016_1704,OTUkt4014,OTUkt4014 sp.,NA,NA,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1705,OTUkt4015,OTUkt4015 sp.,NA,NA,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1711,Mycena_thymicola,Mycena olivaceomarginata,f5178522-058b-40d1-b0bb-a7603bbb9ca1,355839,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1712,Mycena_vulgaris,Mycena vulgaris,1cb192be-36b9-11d5-9548-00d0592d548c,243283,Cohens_d_Cellulose,0
Treseder_etal_2016_1713,Mycena_vulgaris,Mycena vulgaris,1cb192be-36b9-11d5-9548-00d0592d548c,243283,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1716,Mycena_vulgaris,Mycena vulgaris,1cb192be-36b9-11d5-9548-00d0592d548c,243283,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1719,Mycena_vulgaris,Mycena vulgaris,1cb192be-36b9-11d5-9548-00d0592d548c,243283,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1723,Mycoarthris_corallina,Mycoarthris corallina,51343698-f7a4-40ca-b2cb-1aaa25e854d9,375893,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1724,Mycoarthris_corallina,Mycoarthris corallina,51343698-f7a4-40ca-b2cb-1aaa25e854d9,375893,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1726,Mycoarthris_corallina,Mycoarthris corallina,51343698-f7a4-40ca-b2cb-1aaa25e854d9,375893,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1729,OTUkt3463,Cladonia stipitata,NA,NA,Cohens_d_Cellulose,0
Treseder_etal_2016_1732,OTUkt3466,OTUkt3466 sp.,NA,NA,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1736,OTUkt2415,OTUkt2415 sp.,NA,NA,Cohens_d_Cellulose,0
Treseder_etal_2016_1738,OTUkt2417,OTUkt2417 sp.,NA,NA,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1745,Mycosphaerella_walkeri,Mycosphaerella walkeri,1cb1adad-36b9-11d5-9548-00d0592d548c,107049,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1752,Myxocephala_albida,Myxocephala albida,eca42fba-66b8-4c4b-9541-cbec3bc55463,126529,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1753,Naohidea_sebacea,Naohidea sebacea,381dd348-e98f-4598-b12f-29dd1aa49b62,129661,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1763,Neonectria_radicicola,Ilyonectria radicicola,f01ed7b7-1ffc-4aba-bf1a-7620e6dc34df,518560,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1764,Neonectria_radicicola,Ilyonectria radicicola,f01ed7b7-1ffc-4aba-bf1a-7620e6dc34df,518560,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1769,OTUkt1400,OTUkt1400 sp.,NA,NA,Cohens_d_Cellulose,-1.46059348668044
Treseder_etal_2016_1770,OTUkt1401,OTUkt1401 sp.,NA,NA,Cohens_d_Cellulose,-0.804071696041665
Treseder_etal_2016_1773,OTUkt1404,OTUkt1404 sp.,NA,NA,Cohens_d_Cellulose,1.46059348668044
Treseder_etal_2016_1777,OTUkt1408,OTUkt1408 sp.,NA,NA,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1778,OTUkt1409,OTUkt1409 sp.,NA,NA,Cohens_d_Cellulose,-0.894427190999916
Treseder_etal_2016_1783,Oidiodendron_griseum,Oidiodendron griseum,1cb1b52c-36b9-11d5-9548-00d0592d548c,266571,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1784,Oidiodendron_griseum,Oidiodendron griseum,1cb1b52c-36b9-11d5-9548-00d0592d548c,266571,Cohens_d_Cellulose,0.894427190999916
Treseder_etal_2016_1786,Oidiodendron_maius,Oidiodendron maius,4791688f-4661-405c-9e20-bbf70c84ec11,335320,Cohens_d_Cellulose,-0.402035848020833
Treseder_etal_2016_1787,Oidiodendron_maius,Oidiodendron maius,4791688f-4661-405c-9e20-bbf70c84ec11,335320,Cohens_d_Cellulose,-0.894427190999916
