"","Kingdom","Phylum","Class","Order","Family","Genus","Species","ASVs"
"30","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces_purpureus","8b20728436adf186a80fdf73ce41dee2"
"31","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria","unidentified","0a9adf7e3ce3d004bb5fa10a3513a57a"
"32","Fungi","Basidiomycota","Agaricomycetes","Geastrales","Geastraceae","Geastrum","unidentified","9a04df0863354a8bbeea3dd23bb0cca1"
"33","Fungi","Basidiomycota","Agaricomycetes","unidentified","unidentified","unidentified","unidentified","413f3fda7b1251e9cbee49c9e2ffd4fb"
"34","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Clavaria","Clavaria_zollingeri","61091b9173a39eca937ec98b51f9324f"
"35","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Pseudopithomyces","Pseudopithomyces_chartarum","e72f27d650d28e6947b3ae18ad064bae"
"36","Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,NA,"388e2b27bc720f428a5af668bc0c7c74"
"37","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma","Saitozyma_podzolica","cfb1a170f89c469fb569d0f8d1d206f4"
"38","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraconiothyrium","Paraconiothyrium_brasiliense","793b82448bfcd80b89d11e428f1dcbe7"
"39","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae",NA,NA,"e7654ae6f50a60c4fa5a1fa18c5da3dc"
"40","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","unidentified","26d9d9b26d8f3212abb86f7c967c9a7b"
"41","Fungi","Mucoromycota","Umbelopsidomycetes","Umbelopsidales","Umbelopsidaceae","Umbelopsis","Umbelopsis_dimorpha","4cca1f4095f0211ca0cb7da54ea8b030"
"42","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae","unidentified","unidentified","3208dac70fc3b62bb86f15de033e185c"
"43","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unidentified","unidentified","unidentified","91951b2e5607db0796d7d35c9c9fc575"
"44","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaetopsis","Pyrenochaetopsis_leptospora","b5db400ae9250c36f1d7eaa83dfa915e"
