ASVs,Genus,guild
b28b939f2b24dc8cbe2ba0d1a19379e3,Trechispora,wood_saprotroph
c97e2288a88077ad30382cf4eaa24260,NA,NA
36f3afd39da42c98b41fa86822e963d8,NA,NA
ca8e4c149f9352b3bc09e856abb5d3c2,Paraconiothyrium,wood_saprotroph
6c133787cdccff2fca86979e65c27655,unidentified,NA
2b6ecbf7d2101181c238d92d6e5c92b5,Trechispora,wood_saprotroph
14240f66f45681801bcdd461b8bc4355,NA,NA
c264cf5ab3c236aaf440d5b4fe6944fb,Rasamsonia,soil_saprotroph
8ddd74f2801b058e188aab2a1a8fecfa,NA,NA
9f5a58b81aef441bcf506e3233f4057e,Alfaria,litter_saprotroph
10e3586bab1547b65106c5d02ad5f8c6,Russula,ectomycorrhizal
64e9726f35c104d4f9e2fd5b2f302692,Amanita,ectomycorrhizal
33086f0ae86b3779e29fb80083d1d628,NA,NA
750569664c10629e6f97cc4083844fdf,Amanita,ectomycorrhizal
ac01ec510226149e8807469b2900766e,NA,NA
fd363bc2ba6e8b3ca50e3ed76314e6b6,Cortinarius,ectomycorrhizal
1a77d0f5cfdff420fa680e71f14aed68,NA,NA
74ad6e88fdeb088b7fc97ed0b379b0d1,Cortinarius,ectomycorrhizal
66b5312f010f9023f40e9f2b94abfaf7,Neoidriella,soil_saprotroph
eed54810f6759b242d4673e5cbcd2e63,Cladosporium,litter_saprotroph
187620440e09c03c61737f1e6dd900fc,Russula,ectomycorrhizal
68be46869e12b9c2f669659a56ddf564,Serendipita,root_endophyte
b06d9c238f3aeb830851ce16e545c675,Devriesia,plant_pathogen
2bf01dbe6cc781a7076881d547ded3b8,NA,NA
0dacf7e1c821163787153815aeb54bc8,Mortierella,soil_saprotroph
52656d872de4fa04b5877c46b3c10e84,NA,NA
b32448c8123e55056ab1e5e3fa47b520,Lophiostoma,wood_saprotroph
50ebbbf8ecba19dcd0dcb8bb36d33185,NA,NA
da0e10bcb123b7c97a2c0f788fcdb55d,Astraeus,ectomycorrhizal
02da9ea0989d84a8f8f8389bd287395d,Trechispora,wood_saprotroph
0e617078bd46a537816df4a41c20df1b,Tremella,mycoparasite
0ac9eca20168f12b9248ea08ee143e3a,NA,NA
fe163e83820f61d36a34aa85c62a13e3,Umbelopsis,soil_saprotroph
cc7f0dea1228f53e2f99a296e0d858d5,Lactifluus,ectomycorrhizal
50ace053f365427c0625d1f8dbe583d5,unidentified,NA
fd587a070c9a826f4aea30bc954c4f0f,Pyrenochaetopsis,foliar_endophyte
3cb333f821b2f515c38d35bab83967c8,Trichoderma,mycoparasite
5a866312c9bd1aa1f2c6091f0bbf3222,Aureobasidium,sooty_mold
4bb3a429ad780c08b19dd0878c8dec2b,Geoglossum,soil_saprotroph
8dc24bbe50055c5b7e10f3e92f5c3d2d,NA,NA
304b06eb356ef843a02edf1aa83282f5,Amphinema,ectomycorrhizal
4c3a7d140213cd19684506cb9af7f7ba,Russula,ectomycorrhizal
a087944554437980d8b129435d150626,Sebacina,ectomycorrhizal
5d0d156f3f3bdb51b4a296f1e8bb4538,Clonostachys,wood_saprotroph
ebeae706c26e055d2008136ae22dfa25,Clonostachys,wood_saprotroph
d51931fcd6cacd2e4d28ee2a3e445f1a,Cenococcum,ectomycorrhizal
d5828f4ece99da735f3687f93ee23689,Alternaria,plant_pathogen
1ee2399135b6a4b0ea180d0bb7aad811,unidentified,NA
de70289fe34a3e17a588eb22f48ac51e,Sphaerosporella,ectomycorrhizal
d065a67a46fe18144efea967916fba4b,Trichoderma,mycoparasite
f9cdf3d2671190581c30cdfcf767af99,NA,NA
59efed9aae73110a9e3d0604ef310d99,Serendipita,root_endophyte
a6b333a8c3d5b8d989d35cc2bf7b6dfd,NA,NA
34d6038760e69d66047826267dfbbd41,Preussia,dung_saprotroph
83d13ad99de6a00f2a8412153e246574,Rhizopogon,ectomycorrhizal
b69ada6718b4f25b6b1484a728aace4c,NA,NA
83932447ac802939bd76493c30c608bf,NA,NA
da62367c8b072d5f7078b0f90741d832,Cortinarius,ectomycorrhizal
d1b2323bea3f7087f64e629272bae184,Talaromyces,unspecified_saprotroph
de64bcd340f33db6ca93d98a90a97bd0,Geastrum,litter_saprotroph
844ec2bb424d88d4039d04e104241578,Umbelopsis,soil_saprotroph
92cd4cf425367c6f24969a1febd8df63,Talaromyces,unspecified_saprotroph
29051bc8244eb3fe17886c7e8cddb41a,NA,NA
57da1dd62f806487a24b838ba5ad100d,NA,NA
0e9786755fbaf5ab78c8f1f97e16bfea,Lactifluus,ectomycorrhizal
2f4ae56a4a1eba23c5db1b281cf7df22,Paraphoma,plant_pathogen
a50741fc51426346774c81cc278fde70,NA,NA
56d8a368245e2986ac71053e57c82738,Xylogone,mycoparasite
3f18da902116e1a0d8cfceda1b70b63a,NA,NA
bcd1787db737f08cd1e7b1099168e57f,NA,NA
b4a09a2e43b93fbdbae671c54f159958,unidentified,NA
c196ab23d89fd918da486bfdcfec57e8,Leohumicola,soil_saprotroph
8eba891164fd98c8ef2f0050b2087e90,Bifiguratus,soil_saprotroph
e409a031e2e0992672eaa1dd84099da7,unidentified,NA
697e2be614011bc175838e03d84b2a6b,NA,NA
a81cfcf2b21a79758dd7047d4d86dc9e,NA,NA
e41c38e8486c0042b9a63fd2105adc38,NA,NA
8f9b9bddf5921847450107a15cabd3db,NA,NA
55b86382604f8a52056d1db245bf542e,Myrmecridium,soil_saprotroph
52de4ed7d24efa006d8e08025275ed4d,unidentified,NA
b80d6a0fec0ad6ba85d5cfc3e8370a09,Cortinarius,ectomycorrhizal
215f7aee54aaf15674c122f52baa084a,Gorgomyces,litter_saprotroph
0678e081aeaef3645d51c31926d4172f,Geastrum,litter_saprotroph
307edf6f1ea85ad11bf66ec96b5f5124,Rhexodenticula,litter_saprotroph
ea71ebbb328d5c2463f1df00c6defd67,Cenococcum,ectomycorrhizal
0cc431a4add63f95622d89495ba987e1,Periconia,plant_pathogen
e188221e32381b52583c754cc6c63620,unidentified,NA
8639228d15806ecc06a25e6dbea17101,Amphinema,ectomycorrhizal
e7711a5171da92f2c3a210bc7066642b,Lactarius,ectomycorrhizal
5691b4e581c3da1b88ad7bfd0a6f7a68,Rhizopogon,ectomycorrhizal
a1174d224febab74d7e2838f5d07b779,NA,NA
36ac47284b5d419f74d98ce7ff87311e,Paraphoma,plant_pathogen
cb7c520ae33d42d4d679bb82d3fc1d69,NA,NA
f545383d42ca8d5172aa71b27a330512,NA,NA
