"","X","ANVR","ARBE","DELI","DEOB","DIG2","DIG3","DYOB","EUPU","GAER","MIMI","PIGR","RHHA","SIXE","SOOD","SPJU","STBI","SYAD","TEFL","VAMY","VEAN","ARG1","CRRO","DIG1","GADU","HYWR","LIEG","SCIT","SYDU","TRUR","DECI","DEST","HYSU","LERE","MUG1","ASGR","RHRE","RUCU","SYCO","TESP","CHMA","SCTE","TRSM","CHNC","ORLU","SOSE","DAAL","RISC","SCCI","ACGR","SONU","CLMA","ERHR","CEVI","DE01","DEFL","RHCO","SPCL","STHU","TEVI","GAPI","GL01","GYAM","HOPR","PHHE","PRSE","RHDI","RUCA","DIVR","HIGR","PICA","QUIN","SMBO","ENSE","PTPS","VISE","IPPA","HAQU","HYHY","ANVI","DIAI","IOLI","SAAL","STSY","CRAR","DISP","ELEL","TOPU","TRDI","EUAL","PAVI","CRGL","CRCR","PASE","LEAN","LEMI","PONA","RHTO","SOTO","DIST","SOVR","X102","MURO","QUG1","RHCU","SMSM","EUCL","PAQU","CNST","ASTU","OEFR","PNG1","XX01","QUVI","STUM","LG01","OX01","PHUR","PIPA","EUHE","LEVR","DIEN","DR01","HEAN","HYCR","EDUN","RHAL","RHMA","EUHY","MOCE","RUHN","ASVE","GANA","HERA","AGAR","BREU","CRPU","SALY","COEA","CYFI","SMAU","QUNI","ASSP","GAAE","CIHO"
"22","FOJ.14",1,4,1,0,0,2,2,1,1,2,1,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","TOA.11",1,4,1,0,1,0,2,0,0,1,3,1,1,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","TOA.12",1,4,0,0,0,0,2,0,0,0,3,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","TOA.13",2,3,0,0,0,2,2,1,1,1,3,0,0,1,0,1,1,0,3,2,0,2,1,2,0,0,1,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","TOA.16",2,3,2,0,1,3,1,1,0,2,2,0,1,0,0,0,0,0,2,0,2,0,0,2,0,0,1,0,1,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","TOA.17",4,0,2,0,0,1,3,1,1,0,2,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,2,0,1,0,0,2,2,0,3,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","TOA.18",3,4,0,0,0,2,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,2,0,0,0,0,0,3,0,0,0,3,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","TOA.19",2,0,1,1,0,1,2,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,4,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","TOA.20",2,3,0,1,0,0,2,1,1,1,1,0,1,0,0,1,0,0,3,0,1,0,2,0,0,0,1,2,0,0,0,0,2,3,0,0,3,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","TOA.7",0,5,0,0,0,0,3,1,2,0,1,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
