sample_id,field_site,fire_freq,plot,TSF_days,TSF,P1,P2,observed,chao1,diversity_inverse_simpson,diversity_gini_simpson,diversity_shannon,diversity_fisher,diversity_coverage,evenness_camargo,evenness_pielou,evenness_simpson,evenness_evar,evenness_bulla,dominance_dbp,dominance_dmn,dominance_absolute,dominance_relative,dominance_simpson,dominance_core_abundance,dominance_gini,rarity_log_modulo_skewness,rarity_low_abundance,rarity_rare_abundance
FOJ18,FOJ,Maintenance,18,460,1 year,5,7,1269,1283.019231,223.3615743,0.995522954,6.364175562,246.6935736,142,0.702065387,0.890594654,0.176013849,0.462857637,0.575970528,0.028117418,0.050287835,1182,0.028117418,0.004477046,0.331462011,0.972174022,2.032016278,0.611494362,0.603454018
FOJ19,FOJ,Maintenance,19,460,1 year,7,8,1445,1469,320.959728,0.996884344,6.590101766,284.3584088,182,0.80006416,0.905748269,0.222117459,0.426648679,0.583327687,0.022194388,0.043246094,1010,0.022194388,0.003115656,0.255235458,0.967300276,2.027534337,0.659634781,0.681367702
FOJ20,FOJ,Maintenance,20,460,1 year,7,9,1368,1379.836957,252.5234142,0.996039971,6.465929254,266.8165477,159,0.788711553,0.895421015,0.184593139,0.435850691,0.574584624,0.029597315,0.049038031,1323,0.029597315,0.003960029,0.276711409,0.970016425,2.030320716,0.633400447,0.678120805
TOA01,TOA,Annual,1,342,1 year,6,9,1646,1664.49,420.3498364,0.997621029,6.770928687,330.2091684,224,0.773221024,0.914236318,0.255376571,0.461526314,0.598491822,0.013602036,0.02687028,652,0.013602036,0.002378971,0.240977177,0.961224679,2.035457951,0.686506446,0.689239371
TOA02,TOA,Annual,2,342,1 year,6,7,1383,1414.12963,259.9495208,0.996153099,6.474551558,267.4892997,158,0.75119473,0.89526304,0.187960608,0.440967582,0.579429408,0.029592752,0.048309901,1385,0.029592752,0.003846901,0.321225589,0.969493741,2.028838792,0.6343105,0.62939618
TOA03,TOA,Annual,3,342,1 year,8,9,1495,1513,242.5094067,0.995876449,6.449518414,281.3922065,141,0.762485867,0.882301365,0.16221365,0.419270474,0.539689727,0.028527683,0.047428813,1621,0.028527683,0.004123551,0.291805991,0.969866511,2.021960384,0.604097005,0.664073774
TOA04,TOA,Annual,4,342,1 year,6,9,1590,1625.629032,268.8414998,0.996280336,6.576197564,306.1058381,171,0.76945944,0.892112476,0.169082704,0.438430198,0.566266409,0.027412241,0.049630008,1504,0.027412241,0.003719664,0.284110378,0.965829135,2.024616635,0.645408814,0.671235373
TOA05,TOA,Annual,5,342,1 year,6,7,1397,1416.058824,274.779083,0.996360713,6.477703483,271.5307597,152,0.760812998,0.894453164,0.196692257,0.443034708,0.567109459,0.022867137,0.043553367,1059,0.022867137,0.003639287,0.305974822,0.969816954,2.031630713,0.612338321,0.645699726
TOA06,TOA,Annual,6,342,1 year,7,10,1332,1340.962963,346.0604223,0.997110331,6.544293505,260.6358209,173,0.812039504,0.90963249,0.259805122,0.465889623,0.590130204,0.015811289,0.030458271,679,0.015811289,0.002889669,0.260129471,0.969273373,2.022576736,0.642860469,0.692925671
TOA07,TOA,Annual,7,342,1 year,7,9,1551,1578.284091,250.8269813,0.996013188,6.538043778,302.0328331,169,0.721513244,0.889934757,0.161719524,0.431610939,0.569322899,0.032462314,0.048203399,1656,0.032462314,0.003986812,0.323133319,0.966674262,2.030125986,0.640777841,0.621273009
TOA08,TOA,Annual,8,342,1 year,5,6,1310,1321.758065,245.7902925,0.995931491,6.404434017,253.4227505,145,0.783106803,0.892258033,0.187626177,0.448374412,0.569437748,0.023412277,0.0447249,1037,0.023412277,0.004068509,0.303569413,0.971568733,2.028560608,0.616869483,0.654234303
TOA09,TOA,Annual,9,342,1 year,6,8,1410,1439.822581,188.355979,0.994690904,6.331447259,271.1283111,126,0.680547643,0.87314109,0.133585801,0.425709691,0.545120964,0.032412425,0.061450686,1585,0.032412425,0.005309096,0.367456698,0.971658036,2.035289543,0.587595346,0.564712378
TOA10,TOA,Annual,10,342,1 year,6,8,1416,1442.265625,201.2908436,0.995032064,6.402907465,273.270237,145,0.714091048,0.882479073,0.142154551,0.437153249,0.564730943,0.037465884,0.060520222,1812,0.037465884,0.004967936,0.329625341,0.970023686,2.034567673,0.610578116,0.608779257
