"","ASVs","Genus.x","guild.x","DL01","DL02","DL03","DL04","DL05","DL06","DL07","DL08","DL09","DL10","DL11","DL12","DL13","DL14","DL15","DL16","DL17","DL18","DL19","DL20","FOJ01","FOJ02","FOJ03","FOJ04","FOJ05","FOJ06","FOJ07","FOJ08","FOJ09","FOJ10","FOJ11","FOJ12","FOJ13","FOJ14","FOJ15","FOJ16","FOJ17","FOJ18","FOJ19","FOJ20","TOA01","TOA02","TOA03","TOA04","TOA05","TOA06","TOA07","TOA08","TOA09","TOA10","TOA11","TOA12","TOA13","TOA14","TOA15","TOA16","TOA17","TOA18","TOA19","TOA20","Genus","guild.y"
"393","2b8b728cb39f530f04299123b2d8a386",NA,NA,36,0,0,108,40,0,104,0,0,0,0,12,0,0,66,0,0,0,29,0,17,0,0,0,0,20,35,162,0,27,0,331,0,0,0,0,0,20,55,0,137,0,0,0,0,0,0,0,0,18,0,0,0,0,17,60,0,0,0,0,NA,NA
"394","3e37db1cd99fcac69c063b8572a6664b","Cenococcum","ectomycorrhizal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,62,17,0,371,0,32,193,0,76,0,176,0,"Cenococcum","ectomycorrhizal"
"395","7b6e938b8ed8d7969801dc0bfd5a688a","Paraphaeosphaeria","wood_saprotroph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,186,0,0,"Paraphaeosphaeria","wood_saprotroph"
"396","4a2cc93be4c18ee1899ce3df1218ba8c","unidentified",NA,25,55,0,115,65,0,85,0,0,0,0,0,0,38,170,215,46,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,67,27,0,0,0,0,44,114,0,71,0,0,0,0,"unidentified",NA
"397","7185e94d1f3a21cb34166a68edeaf219","unidentified",NA,0,21,47,0,12,0,28,0,44,0,0,0,0,48,0,0,0,0,0,0,432,34,0,9,29,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,96,0,0,0,0,0,0,0,0,9,0,0,444,"unidentified",NA
"398","0134bb5f867521577995a6f97819393f",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,39,24,23,36,847,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"399","7ff6cf83549a84ce9734dc5b0b592e47","unidentified",NA,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,25,0,187,0,31,0,0,0,0,319,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,30,68,241,0,80,0,0,73,34,35,0,0,39,0,"unidentified",NA
"400","0efa1b392e73e0c99fc01ceb6d55a607","Geoglossum","soil_saprotroph",0,0,0,0,0,0,0,48,0,0,0,85,0,480,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9,116,81,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,16,0,"Geoglossum","soil_saprotroph"
"401","786462b8625daa36e4d7e28fc7a9acbb","Acremoniopsis","soil_saprotroph",6,0,0,0,0,0,0,13,9,0,0,13,0,17,36,0,51,22,0,112,15,0,0,0,0,42,131,10,184,47,9,0,64,0,5,32,0,12,21,5,29,0,0,0,0,0,0,27,0,0,0,17,18,16,228,32,17,0,13,7,"Acremoniopsis","soil_saprotroph"
"402","ea0b4540d1545d99962852021f8b26de","Geastrum","litter_saprotroph",0,0,0,0,0,0,0,0,10,0,0,0,0,0,56,0,0,0,0,0,40,0,0,143,0,0,8,149,36,815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Geastrum","litter_saprotroph"
"403","446f844a9c8b71bd04f4ca2c374d54ce","Inocybe","ectomycorrhizal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Inocybe","ectomycorrhizal"
"404","23ca5c80aaebc563b63bb893426eeb8c","Talaromyces","unspecified_saprotroph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,24,32,0,0,0,0,0,98,34,282,0,92,0,0,62,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,70,108,177,0,27,"Talaromyces","unspecified_saprotroph"
"405","ea249147ee15f1d8d2acf35f490dddfb","Phaeosphaeria","litter_saprotroph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,802,6,14,365,19,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Phaeosphaeria","litter_saprotroph"
"406","08e30541a4ea4a2d6096ff97a83fa6ef","unidentified",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"unidentified",NA
"407","5c06c513c2e1d728aaab1c7cc95471e8","unidentified",NA,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,298,0,0,0,0,0,9,0,0,0,405,0,0,0,57,0,13,0,0,19,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,63,0,0,0,0,"unidentified",NA
"408","f69ad14e25bae6ad51a395445c86ef5c",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,33,0,383,0,223,342,0,18,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,52,0,0,38,0,66,NA,NA
"409","10df86ca08365b6c733f48d3f300d04b","Phaeosphaeria","litter_saprotroph",35,0,33,0,0,39,0,12,22,7,0,0,0,0,594,49,0,0,0,0,15,45,0,20,0,0,15,6,0,56,10,0,0,71,9,0,0,15,0,0,7,0,8,11,16,0,11,21,0,0,0,0,0,0,42,49,0,0,0,0,"Phaeosphaeria","litter_saprotroph"
"410","feb845b275a6f62aec4b49a5563ed866",NA,NA,0,0,0,0,0,0,0,0,0,0,89,0,0,0,7,6,0,0,0,0,0,0,0,2,6,0,5,119,10,64,13,471,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,19,13,0,117,0,30,0,184,0,39,0,0,0,NA,NA
"411","7938e4471c429319056b75ce8bccb49b","Hygrophorus","ectomycorrhizal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hygrophorus","ectomycorrhizal"
"412","9d8bfee8afb324703a2d95ad93f38bda","Buergenerula","unspecified_saprotroph",38,15,12,31,23,27,8,0,6,33,10,0,0,0,84,78,0,11,5,10,68,0,15,0,19,0,10,7,0,0,0,0,0,0,0,0,0,4,0,24,21,90,42,42,75,29,231,35,12,17,7,7,0,0,0,39,0,5,0,0,"Buergenerula","unspecified_saprotroph"
